Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,04817;3,2366
0,04821;3,23127
0,04825;3,23023
0,04829;3,23277
0,04833;3,23693
0,04838;3,23697
0,04841;3,23603
0,04845;3,23698
0,0485;3,23871
0,04854;3,24196
0,04858;3,24018
0,04863;3,24175
0,04868;3,24252
0,04872;3,24095
0,04876;3,237
0,0488;3,24035
0,04884;3,2411
0,04888;3,24386
0,04892;3,24482
0,04896;3,24413
0,049;3,24559
0,04905;3,24792
0,04909;3,24669
0,04914;3,24663
0,04919;3,24982
0,04923;3,24818
0,04927;3,24474
0,04931;3,24325
0,04935;3,24627
0,04939;3,24913
0,04943;3,25026
0,04947;3,25211
0,04951;3,25115
0,04956;3,25273
0,0496;3,25031
0,04964;3,24985
0,04968;3,25426
0,04974;3,25754
0,04978;3,25538
0,04982;3,24868
0,04986;3,25146
0,0499;3,25285
0,04994;3,25518
0,04998;3,25575
0,05002;3,25534
0,05006;3,25744
0,05011;3,2583
0,05015;3,25752
0,05019;3,25586
0,05024;3,26055
0,05029;3,25948
0,05033;3,25321
0,05037;3,25388
0,05041;3,25585
0,05045;3,25772
0,05049;3,25773
0,05053;3,25881
0,05057;3,25896
0,05061;3,26095
0,05066;3,26167
0,0507;3,26105
0,05074;3,26218
0,0508;3,264
0,05084;3,26038
0,05088;3,25626
0,05091;3,2572
0,05095;3,26067
0,051;3,26213
0,05104;3,2632
0,05108;3,26203
0,05112;3,26287
0,05117;3,26489
0,05121;3,26255
0,05125;3,26352
0,0513;3,26649
0,05135;3,26833
0,05139;3,26157
0,05143;3,26124
0,05147;3,26226
0,05151;3,26616
0,05155;3,26784
0,05159;3,26534
0,05163;3,26416
0,05168;3,27007
0,05172;3,26826
0,05175;3,26631
0,0518;3,27015
0,05185;3,27229
0,0519;3,26957
0,05194;3,26507
0,05197;3,26658
0,05201;3,26649
0,05206;3,26793
0,0521;3,26784
0,05213;3,26663
0,05218;3,26971
0,05222;3,27253
0,05226;3,27136
0,05231;3,27061
0,05236;3,27335
0,0524;3,27145
0,05244;3,26926
0,05248;3,26965
0,05253;3,26983
0,05257;3,27301
0,05261;3,27351
0,05265;3,27216
0,05269;3,27391
0,05273;3,27473
0,05278;3,27542
0,05282;3,27594
0,05286;3,27819
0,05291;3,27906
0,05295;3,2757
0,05299;3,27733
0,05303;3,27604
0,05307;3,27817
0,05312;3,27884
0,05315;3,28117
0,0532;3,28032
0,05324;3,28178
0,05328;3,28298
0,05332;3,28238
0,05336;3,28295
0,05341;3,28554
0,05346;3,28622
0,0535;3,28322
0,05354;3,28256
0,05358;3,284
0,05362;3,28452
0,05366;3,2883
0,0537;3,28822
0,05375;3,29001
0,05379;3,2896
0,05384;3,29132
0,05388;3,28888
0,05393;3,29025
0,05397;3,29308
0,05401;3,28931
0,05405;3,28753
0,05409;3,28988
0,05413;3,29199
0,05417;3,29272
0,05421;3,29509
0,05425;3,29489
0,0543;3,29535
0,05434;3,29772
0,05438;3,2969
0,05442;3,29525
0,05447;3,30044
0,05452;3,30204
0,05456;3,30164
0,0546;3,29507
0,05464;3,2959
0,05468;3,29887
0,05472;3,30194
0,05476;3,30225
0,0548;3,30131
0,05485;3,30504
0,05489;3,30503
0,05493;3,30515
0,05498;3,30662
0,05503;3,30941
0,05507;3,30685
0,05511;3,3034
0,05515;3,30303
0,05519;3,30639
0,05523;3,30937
0,05527;3,31107
0,05531;3,30932
0,05536;3,31269
0,0554;3,31378
0,05544;3,3136
0,05548;3,31271
0,05553;3,31552
0,05558;3,31765
0,05562;3,31401
0,05566;3,3131
0,05569;3,31504
0,05574;3,31686
0,05578;3,32039
0,05582;3,31977
0,05586;3,31956
0,05591;3,32244
0,05595;3,32288
0,05599;3,32176
0,05604;3,3228
0,05608;3,32589
0,05613;3,32387
0,05617;3,32108
0,0562;3,32345
0,05624;3,32503
0,05629;3,32708
0,05633;3,33096
0,05637;3,32783
0,05641;3,32951
0,05646;3,33115
0,0565;3,32985
0,05654;3,33079
0,05659;3,33081
0,05664;3,33562
0,05668;3,33088
0,05672;3,33012
0,05676;3,33061
0,05679;3,334
0,05683;3,33695
0,05688;3,33637
0,05692;3,33806
0,05696;3,33786
0,05701;3,33999
0,05705;3,33776
0,05709;3,33871
0,05714;3,34118
0,05719;3,34213
0,05723;3,33569
0,05727;3,33982
0,0573;3,33897
0,05734;3,34215
0,05739;3,34483
0,05743;3,3448
0,05747;3,34458
0,05752;3,34656
0,05756;3,34475
0,0576;3,3453
0,05765;3,34712
0,0577;3,35024
0,05774;3,34685
0,05778;3,34363
0,05781;3,34429
0,05786;3,34875
0,0579;3,35068
0,05794;3,3503
0,05798;3,35025
0,05802;3,35198
0,05807;3,3561
0,05811;3,35363
0,05815;3,35258
0,0582;3,35488
0,05824;3,35662
0,05828;3,35222
0,05832;3,3528
